"","accelerometer_x","accelerometer_y","accelerometer_z","gyroscope_x","gyroscope_y","gyroscope_z","linear_acc_x","linear_acc_y","linear_acc_z","gravity_x","gravity_y","gravity_z","orientation_z","orientation_x","orientation_y","activity"
"4214",-1.2905,-8.8061,1.1325,-1.6511,-9.606,-1.0813,0.272,0.8405,1.8595,-0.1865,1.1696,0.5172,202.17,79.24,122.63,"vacuum"
"4215",-0.316,-8.3081,-0.7781,-1.7926,-9.5956,-0.9387,1.4766,1.2875,0.1606,0.0628,0.6008,0.1726,204.19,78.39,123.22,"vacuum"
"4216",-0.3448,-9.5364,-1.3528,-1.5387,-9.6594,-0.706,1.1939,0.123,-0.6468,0.1599,-0.1615,-0.0833,219.94,78.9,115.86,"vacuum"
"4217",-2.4398,-9.5723,-0.5986,-1.4029,-9.6847,-0.6384,-1.2763,-0.2946,-0.2283,0.1831,-0.1817,0.0358,218.1,80.8,114.7,"vacuum"
"4218",-1.6975,-9.85,0.0766,-1.4939,-9.6832,-0.4163,0.0855,-0.4802,-0.3535,0.006,-0.5268,-0.0393,222.6,80.82,105.98,"vacuum"
"4219",-2.3895,-9.9123,0.8404,-1.3835,-9.7016,-0.3683,-0.6121,-0.2595,0.9408,0.1025,0.2068,-0.0222,223.92,81.27,105.42,"vacuum"
"4220",-1.4916,-10.2954,-0.1269,-1.3996,-9.6985,-0.3863,-0.5858,-0.0564,0.7682,-0.4724,0.4249,-0.2531,223.64,81.49,105.43,"vacuum"
"4221",-2.842,-9.1557,1.1157,-1.2841,-9.698,-0.6855,-1.5579,0.5423,1.8012,-0.1596,0.4585,-0.0381,208.88,81.63,118.43,"vacuum"
"4222",-2.6457,-11.5141,-2.095,-1.7312,-9.6523,-0.0736,-0.9145,-1.8617,-2.0214,0.6321,0.0114,0.3443,239.85,80.54,96.49,"vacuum"
"4223",0.1676,-6.8596,-2.8181,-1.703,-9.656,0.1771,1.8705,2.7964,-2.9951,0.4775,0.3504,0.0914,246.23,79.62,89.48,"vacuum"
"4224",1.2235,-12.9746,-3.4885,-1.3593,-9.7108,0.1531,3.0377,-3.7906,-3.1292,-0.4149,0.2502,-0.3368,252.04,80.92,83.68,"vacuum"
"4225",-1.3623,-8.3057,-0.0455,-1.2674,-9.705,-0.6142,-0.095,1.3992,0.5687,-0.3288,0.2453,0.3144,242.29,82.6,89.8,"vacuum"
"4226",-1.5036,-9.2156,0.2586,-1.6618,-9.6346,-0.763,0.3043,0.9722,1.2825,-0.0765,0.1885,0.596,217.66,80.17,116.49,"vacuum"
"4227",-1.518,-10.1445,-2.0184,-1.7922,-9.6264,-0.538,0.2742,-0.5181,-1.4803,-0.2757,0.1794,-0.277,223.99,78.79,111.04,"vacuum"
"4228",-2.4374,-10.712,-0.3184,-1.5776,-9.6649,-0.5195,-0.8597,-1.047,0.2011,0.3199,-0.1316,0.0205,218.43,79.6,113.39,"vacuum"
"4229",-2.1453,-9.7016,-0.158,-1.5343,-9.6757,-0.4428,-0.6001,0.0709,0.3307,-0.0423,0.3742,-0.0851,222.78,80.63,106.1,"vacuum"
"4230",-1.7526,-9.9793,-0.3113,-1.4856,-9.6807,-0.4976,-0.1431,-0.3578,0.2301,-0.1174,0.3082,-0.0992,224.57,80.77,107.44,"vacuum"
"4231",-2.0758,-9.8405,0.1437,-1.2031,-9.6957,-0.8461,-0.8727,-0.1448,0.9897,-0.3538,0.2093,-0.2024,215.67,81.41,120.45,"vacuum"
"4232",-2.4182,-9.5244,-0.2777,-1.1477,-9.6838,-1.0373,-1.2705,0.1594,0.7595,-0.3325,0.3486,-0.1786,206.25,81.15,129.83,"vacuum"
"4233",-2.8588,-11.0927,-2.265,-1.1944,-9.6592,-1.201,-1.6643,-1.4334,-1.0639,-0.0985,0.3687,0.0425,204.77,80.05,135.16,"vacuum"
"4234",-1.257,-10.5276,-2.6576,-1.5315,-9.5856,-1.3932,0.2745,-0.942,-1.2645,-0.1602,0.238,0.263,210.37,78.95,133.73,"vacuum"
"4235",-0.3855,-7.8676,-2.3296,-1.5751,-9.5044,-1.8319,1.0327,1.6859,-0.5529,-0.3764,0.3119,0.0279,205.86,76.29,135.43,"vacuum"
"4236",0.6512,-9.0288,-3.3137,-1.4283,-9.4554,-2.1736,2.2203,0.2562,-1.2094,-0.129,0.1794,0.139,199.92,75.33,142.22,"vacuum"
"4237",0.1317,-8.854,-2.6744,-1.1959,-9.3951,-2.544,1.3275,0.5411,-0.1304,-0.1217,-0.1627,0.1183,181.75,73.34,154.82,"vacuum"
"4238",-0.6632,-8.7774,-2.7175,-1.1345,-9.3955,-2.5704,0.4713,0.6181,-0.1471,0.1623,-0.1572,0.0334,180.1,73.14,156.51,"vacuum"
"4239",-1.1971,-8.8253,-2.8588,-1.1337,-9.4601,-2.322,-0.0634,0.6348,-0.5368,0.3688,-0.2446,-0.0021,176.69,73.75,155.51,"vacuum"
"4240",-1.2378,-9.0671,-2.1165,-1.2614,-9.5262,-1.9572,-0.0458,-0.0455,-0.1403,0.5618,-0.2702,0.1225,177.38,75.62,150.05,"vacuum"
"4241",-0.8188,-9.6777,-1.9633,-1.3515,-9.5936,-1.5185,0.5327,-0.084,-0.4448,-0.1162,-0.6087,-0.1383,182.32,76.8,144.8,"vacuum"
"4242",-2.8181,-10.1757,-0.5986,-1.2733,-9.6272,-1.3658,-1.5447,-0.5485,0.7672,-0.005,-0.8048,-0.1939,184.14,78.66,137.88,"vacuum"
"4243",-2.2506,-9.8907,-0.2658,-1.3555,-9.6457,-1.1376,-0.9,-0.0488,1.1807,0.1831,-0.3741,-0.0473,186.02,79.32,133.88,"vacuum"
"4244",-1.7047,-9.7974,-0.0239,-1.4996,-9.6345,-1.0476,-0.2051,-0.1629,1.0236,-0.2543,-0.1426,0.0101,198.89,79.53,124.94,"vacuum"
"4245",-2.0878,-9.6106,0.3759,-1.6307,-9.6047,-1.1226,-0.4571,-0.0059,1.4985,-0.2665,-0.0552,0.0541,200.57,78.6,125.42,"vacuum"
"4246",-1.6975,-9.5532,0.0096,-1.7135,-9.5879,-1.1429,0.0159,0.0347,1.1525,-0.3752,-0.0442,-0.0222,202.33,78.19,123.91,"vacuum"
"4247",-2.4757,-10.3504,-1.4342,-1.781,-9.5574,-1.2864,-0.6947,-0.7931,-0.1478,-0.3447,-0.2483,0.3522,201.65,77.05,125.84,"vacuum"
"4248",-1.5874,-10.5204,-3.4621,-2.2335,-9.4272,-1.5195,0.6461,-1.0932,-1.9426,-0.3392,-0.2849,0.2233,202.79,75.36,124.48,"vacuum"
"4249",-1.4988,-8.4039,-1.9657,-2.1066,-9.3883,-1.8952,0.7374,1.2226,-0.015,-0.3746,-0.1701,-0.214,190.75,73.2,131.98,"vacuum"
"4250",-1.4007,-8.629,-3.5004,-1.98,-9.3906,-2.0164,0.6103,0.7526,-1.5713,-0.1492,-0.3875,-0.0528,185.96,73.22,134.96,"vacuum"
"4251",-1.8053,-8.5739,-3.2778,-1.8449,-9.3726,-2.2184,0.4049,0.6701,-1.1735,-0.027,-0.4755,-0.1798,175.29,72.83,139.18,"vacuum"
"4252",-1.2618,-8.9785,-3.0647,-1.7759,-9.3962,-2.1744,0.5016,0.4224,-0.9007,0.1782,-0.5738,-0.2201,170.53,72.93,140.82,"vacuum"
"4253",-0.5746,-8.8397,-2.8324,-1.6539,-9.4449,-2.0562,0.8767,0.7065,-0.8372,0.1813,-0.8469,-0.2232,164.13,74.39,141.19,"vacuum"
"4254",-1.6544,-8.2076,-2.8612,-1.6201,-9.4919,-1.857,0.462,1.183,-0.9998,0.1306,-1.123,-0.0234,160.61,75.12,140.73,"vacuum"
"4255",-2.7965,-10.894,-3.5435,-1.7558,-9.4834,-1.7754,-1.2743,-1.5188,-1.6822,-0.1969,-1.0204,-0.1218,157.23,75.45,138.9,"vacuum"
"4256",-2.5092,-12.862,0.6512,-1.8909,-9.4144,-1.991,-0.908,-4.9541,2.6272,-0.2201,-1.2605,-0.2586,150.12,74.07,136.72,"vacuum"
"4257",-2.6983,-8.9402,2.186,-1.9486,-9.4178,-1.9179,-0.5983,1.1071,4.1844,-0.5426,-1.0772,-0.1114,142.09,73.72,137.42,"vacuum"
"4258",-2.2027,-9.8884,-0.3974,-2.2455,-9.4493,-1.3559,-0.8471,-0.8113,0.6824,-0.2897,-0.4798,0.0273,148.98,74.37,129.17,"vacuum"
"4259",-1.7406,-10.803,-0.5435,-2.3127,-9.4747,-1.0252,1.0745,-0.1636,1.4676,-0.195,-0.7486,-0.0131,171.09,75.05,113.91,"vacuum"
"4260",-2.3009,-9.0192,0.6991,-2.3563,-9.4659,-1.0072,-0.1244,0.2864,1.3678,-0.3679,-0.8738,0.0627,168.44,74.92,113.87,"vacuum"
"4261",-1.8005,-9.2299,0.4118,-2.4831,-9.4426,-0.9169,0.5465,0.218,1.489,-0.3154,-0.1951,0.0291,169.47,74.4,110.48,"vacuum"
"4262",-2.5523,-12.1677,-1.3384,-2.4811,-9.4365,-0.9829,0.142,-0.9457,-0.0054,-0.3532,-0.7101,0.1458,169.03,74.37,110.63,"vacuum"
